id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
71,crlogo,legendary,24,21,1,0,34.2422000000000000,342.422,10,10,16,72464.800000000000000000,6,14117710,2199,6656.426536055298,9656.426536055298,965.6426536055299,1,3000,800.000000000000000000,258.125,1000
72,yinyang,uncommon,29,29,1,0,5.4551370629370629,3900.423,687,715,11,439,0,22395,24,3.621545731761211,3.621545731761211,0.0052715367274544555,83,,,,
73,waffle2,legendary,29,29,1,0,17.4463888888888889,314.035,18,18,6,47660.000000000000000000,0,19036,5,0.9752441514737646,0.9752441514737646,0.05418023063743137,85,,,,
74,snowman,epic,29,24,1,0,12.3666200000000000,618.331,50,50,4,6954.600000000000000000,0,407916,47,46.23074595911399,46.23074595911399,0.9246149191822798,49,,,,
75,crosshair,common,24,29,1,0,3.5271520000000000,7054.304,2000,2000,23,1000,0,6006497,1727,1938.0994255137969,1938.0994255137969,0.9690497127568984,5,,100.000000000000000000,,
76,xmasball2,common,29,29,1,0,3.4784504697986577,12957.228,3505,3980,3,55,0,343009,271,112.67590565621657,112.67590565621657,0.03214719134271514,42,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.4724500000000000,1147.245,100,100,16,7760,2,4923519,300,1723.2560686400384,1723.2560686400384,17.232560686400383,7,,,,
78,vase,common,29,29,1,0,2.4948095000000000,4989.619,1999,2000,13,180.000000000000000000,0,297308,133,46.14855790365945,46.14855790365945,0.023085821862761105,50,,,,
79,ufo,uncommon,29,24,1,0,5.9053233333333333,3543.194,600,600,23,955.800000000000000000,0,297816,115,56.42048375927275,56.42048375927275,0.09403413959878791,47,,,,
80,wheeee,rare,29,29,1,0,8.8818933333333333,1332.284,150,150,22,4000,1,2222563,167,466.6304105044,466.6304105044,3.1108694033626665,21,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.5472800000000000,877.364,50,50,9,18400.000000000000000000,0,34619,12,3.5314522320905155,3.5314522320905155,0.07062904464181032,84,,,,
83,ape,epic,29,29,1,0,16.9252600000000000,846.263,50,50,18,22200.000000000000000000,0,3258203,611,1013.8607045058567,1013.8607045058567,20.277214090117134,12,,100.000000000000000000,,
