id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
77,xmasball1,rare,29,29,1,100.000000000000000000,10.7541100000000000,1075.411,100,100,3,6630.000000000000000000,3,3024409,934,2874.2325821799514,3374.2325821799514,33.74232582179951,3,200.000000000000000000,,500,
78,vase,common,29,29,1,0,2.7946093645484950,4177.941,1494,2000,11,151.000000000000000000,0,169197,102,14.13867745398547,14.13867745398547,0.00946363952743338,75,,,,
79,ufo,uncommon,24,24,1,0,5.3647283333333333,3218.837,600,600,20,3800,8,11958234,3860,11354.602727803345,14354.602727803345,23.92433787967224,1,1200.000000000000000000,195.41666666666666,3000,1000
80,wheeee,rare,29,29,1,0,8.4332000000000000,1264.980,150,150,3,3030.000000000000000000,0,113682,43,40.26458756075165,40.26458756075165,0.26843058373834433,67,,,,
81,owl,epic,21,29,1,200.000000000000000000,16.9632200000000000,848.161,50,50,27,17950,5,8019728,1543,5236.474079358134,6236.474079358134,124.72948158716268,2,900.000000000000000000,126.33333333333334,1000,
83,ape,epic,29,24,1,0,14.9709800000000000,748.549,50,50,14,18628.000000000000000000,0,1659323,424,806.1884095726235,806.1884095726235,16.12376819145247,19,,,,
84,ghost,epic,24,24,1,0,18.3906400000000000,919.532,50,50,29,19828.400000000000000000,2,2738488,493,1719.2035713519392,1719.2035713519392,34.38407142703878,7,,,,
85,diver,rare,29,29,1,0,7.5900600000000000,1138.509,150,150,26,4500,0,390628,99,234.33027877008917,234.33027877008917,1.562201858467261,36,,,,
86,cobra,legendary,29,29,1,0,30.9228000000000000,309.228,10,10,5,73400.000000000000000000,0,1821858,595,1334.9409282886852,1334.9409282886852,133.49409282886853,9,,,,
87,clock,common,29,29,1,0,2.2613360000000000,4522.672,2000,2000,24,140,0,323330,156,174.1801620272031,174.1801620272031,0.08709008101360155,45,,,,
88,ladybug,rare,29,29,1,0,9.3237133333333333,1398.557,150,150,7,5570.000000000000000000,0,2108876,563,993.1579530216425,993.1579530216425,6.621053020144283,12,,,,
89,dragon,epic,29,29,1,100.000000000000000000,14.9575600000000000,747.878,50,50,23,12950,0,999056,371,958.2649218318036,958.2649218318036,19.16529843663607,14,,,,
90,virus,common,29,29,1,0,2.3897725000000000,4779.545,2000,2000,17,155.800000000000000000,1,553871,320,470.58922093124244,470.58922093124244,0.23529461046562122,28,,,,
91,cougar,rare,29,29,1,0,8.6310400000000000,1294.656,150,150,21,3000,0,1857853,830,960.3951656798766,960.3951656798766,6.402634437865844,13,,,,
92,botroyale,legendary,29,24,1,0,17.1311000000000000,171.311,10,10,5,39840.000000000000000000,1,866248,429,639.0028117661732,639.0028117661732,63.90028117661732,23,,,,
93,mummy,epic,29,24,1,0,14.0257400000000000,701.287,50,50,24,14119.000000000000000000,2,1826476,785,1766.7415447571007,1766.7415447571007,35.33483089514201,6,400.000000000000000000,,,
94,frankie,rare,29,29,1,0,6.0956000000000000,914.340,150,150,13,2307.895238095238000000,0,829348,346,596.5609096353219,596.5609096353219,3.9770727309021456,24,,,,
