id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
67,peach,rare,29,29,1,0,10.0445800000000000,1004.458,100,100,22,3099.800000000000000000,0,58957,33,17.561325044357535,17.561325044357535,0.17561325044357534,76,,,,
68,watermelon,uncommon,29,24,1,0,4.0678933333333333,2440.736,600,600,30,705,0,641192,413,290.6157076585162,290.6157076585162,0.4843595127641937,36,,,,
69,citrus,epic,29,29,1,0,15.2919000000000000,764.595,50,50,21,9000,0,518555,323,119.01625323426721,119.01625323426721,2.380325064685344,50,,,,
70,potion,epic,29,29,1,0,13.5811600000000000,679.058,50,50,11,10500,0,955658,373,443.07130220657336,443.07130220657336,8.861426044131468,24,,,,
71,crlogo,legendary,24,19,1,0,29.6047000000000000,296.047,10,10,25,68733.333320000000000000,8,11787081,3525,8607.384343969172,11607.384343969172,1160.7384343969172,1,900.000000000000000000,1000,3000,270
72,yinyang,uncommon,29,29,1,0,5.4036629526462396,3879.830,690,718,23,354.800000000000000000,0,67558,55,12.694552934483164,12.694552934483164,0.01839790280359879,79,,,,
73,waffle2,legendary,29,29,1,0,16.8156666666666667,302.682,18,18,8,41500,0,344351,112,63.78013069867777,63.78013069867777,3.5433405943709873,58,,,,
74,snowman,epic,29,24,1,0,12.1215800000000000,606.079,50,50,31,8571.419047619047,0,654580,193,146.34440410687495,146.34440410687495,2.926888082137499,46,,,,
75,crosshair,common,24,24,1,0,3.2650905000000000,6530.181,2000,2000,21,950,3,7017016,2170,4970.662803175855,5470.662803175855,2.7353314015879273,3,300.000000000000000000,,500,234
76,xmasball2,common,29,29,1,0,3.8608711288711289,11594.196,2783,4001,23,55,0,474814,531,336.8795325915107,336.8795325915107,0.12104905950108183,33,,,,
77,xmasball1,rare,29,24,1,100.000000000000000000,11.2635900000000000,1126.359,100,100,10,10323.000000000000000000,0,2384759,797,1190.2631148181322,1190.2631148181322,11.902631148181321,15,,,,
78,vase,common,29,24,1,0,2.4445485000000000,4889.097,1999,2000,13,151.000000000000000000,0,812038,309,330.4130366720336,330.4130366720336,0.16528916291747556,34,,,,
79,ufo,uncommon,29,19,1,0,5.6988816666666667,3419.329,600,600,14,3200.000000000000000000,0,5704964,1493,2721.8767131951627,2721.8767131951627,4.536461188658604,8,200.000000000000000000,,,
80,wheeee,rare,29,29,1,0,8.4414733333333333,1266.221,150,150,18,2950,0,624622,128,422.50764060554974,422.50764060554974,2.8167176040369983,25,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.2994600000000000,864.973,50,50,23,16000,0,139006,24,27.987971445338328,27.987971445338328,0.5597594289067666,73,,,,
83,ape,epic,29,24,1,0,15.6868400000000000,784.342,50,50,18,21000.000000000000000000,4,5040950,1360,3903.8662551153557,3903.8662551153557,78.07732510230711,5,500.000000000000000000,,,
