,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
79,79,ufo,uncommon,24,16,1,0,5.0709783333333333,3042.587,600,600,23,2200,2,2515134,893,3714.072544262022,6714.072544262022,11.19012090710337,1,600.000000000000000000,3000,171.5,
80,80,wheeee,rare,29,29,1,0,8.4145466666666667,1262.182,150,150,33,3000,0,24071,6,15.838858323188632,15.838858323188632,0.10559238882125754,61,,,,
81,81,owl,epic,16,24,1,200.000000000000000000,16.6472600000000000,832.363,50,50,15,17000,1,3478821,830,659.2955352405362,659.2955352405362,13.185910704810723,19,1500.000000000000000000,,181,
83,83,ape,epic,29,19,1,0,14.4915600000000000,724.578,50,50,22,13480.000000000000000000,2,1447707,490,1500.3626311999328,1500.3626311999328,30.007252623998657,6,900.000000000000000000,,84,
84,84,ghost,epic,29,29,1,0,18.8344800000000000,941.724,50,50,8,19000,2,760955,215,1494.7832294545292,1494.7832294545292,29.895664589090583,7,0.000000000000000000,,,
85,85,diver,rare,29,21,1,0,7.4762000000000000,1121.430,150,150,14,4335.400000000000000000,1,330459,128,481.4283219603446,481.4283219603446,3.209522146402297,26,,,,
86,86,cobra,legendary,29,24,1,0,28.3125000000000000,283.125,10,10,29,102000.000000000000000000,1,681602,262,1086.4422756331874,1086.4422756331874,108.64422756331874,10,100.000000000000000000,,,
87,87,clock,common,29,29,1,0,2.3796837944664032,4214.420,1771,2000,15,126.000000000000000000,0,,,,,,85,,,,
88,88,ladybug,rare,29,29,1,0,9.2009000000000000,1380.135,150,150,31,4750,1,699534,137,949.3196429882328,949.3196429882328,6.328797619921552,13,,,,
89,89,dragon,epic,21,24,1,100.000000000000000000,15.2890400000000000,764.452,50,50,22,13000,0,457643,213,499.85206169527214,499.85206169527214,9.997041233905442,24,,,,
90,90,virus,common,29,24,1,0,2.3529830000000000,4705.966,2000,2000,3,141,1,136199,58,296.7182742094262,296.7182742094262,0.1483591371047131,38,,,,
91,91,cougar,rare,29,21,1,0,8.3013733333333333,1245.206,150,150,8,3000,0,292848,180,405.06231018812974,405.06231018812974,2.7004154012541983,28,,,,
92,92,botroyale,legendary,29,29,1,0,12.5033000000000000,125.033,10,10,30,60000,1,323330,104,505.1728001275368,505.1728001275368,50.51728001275368,23,,,,
93,93,mummy,epic,16,19,1,0,12.2662200000000000,613.311,50,50,9,15000,3,1452900,768,3300.1538425122735,3300.1538425122735,66.00307685024546,2,,,,1000
94,94,frankie,rare,24,29,1,0,5.6750800000000000,851.262,150,150,29,2900,0,250657,78,378.40403662677994,378.40403662677994,2.522693577511866,30,,,,
