,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
78,78,vase,common,29,29,1,0,2.8761702127659574,4055.400,1409,2000,16,129.000000000000000000,0,83174,30,10.603815822881696,10.603815822881696,0.007525774182314902,64,,,,
79,79,ufo,uncommon,29,21,1,0,5.0641166666666667,3038.470,600,600,16,1890,1,696430,360,1776.4134058772677,1776.4134058772677,2.960689009795446,3,400.000000000000000000,,,
80,80,wheeee,rare,29,29,1,0,8.4142733333333333,1262.141,150,150,33,3000,0,33153,10,9.290934353312442,9.290934353312442,0.06193956235541628,67,,,,
81,81,owl,epic,29,29,1,200.000000000000000000,16.6133000000000000,830.665,50,50,32,17000,0,69884,19,49.887719374988706,49.887719374988706,0.9977543874997741,52,,,,
83,83,ape,epic,29,29,1,0,14.4816000000000000,724.080,50,50,28,13480.000000000000000000,0,695678,217,694.0760406452915,694.0760406452915,13.88152081290583,18,300.000000000000000000,,,
84,84,ghost,epic,29,29,1,0,18.8262000000000000,941.310,50,50,29,19600.000000000000000000,1,809690,234,1305.0453566957335,1305.0453566957335,26.10090713391467,6,200.000000000000000000,,,
85,85,diver,rare,29,29,1,0,7.4742600000000000,1121.139,150,150,29,4335.400000000000000000,0,643463,213,595.9276749206526,595.9276749206526,3.9728511661376844,22,,,,
86,86,cobra,legendary,29,21,1,0,28.2648000000000000,282.648,10,10,8,102000.000000000000000000,0,398215,179,571.6486022001728,571.6486022001728,57.16486022001728,25,,,,
87,87,clock,common,29,29,1,0,2.3823701814058957,4202.501,1764,2000,15,123.000000000000000000,0,63851,51,88.10684537209174,88.10684537209174,0.04994719125402026,45,,,,
88,88,ladybug,rare,29,24,1,0,9.1982800000000000,1379.742,150,150,14,5380.000000000000000000,0,797995,227,632.4350236625091,632.4350236625091,4.216233491083394,21,,,,
89,89,dragon,epic,29,24,1,100.000000000000000000,15.2772200000000000,763.861,50,50,23,13000,0,193498,95,153.7312239614369,153.7312239614369,3.074624479228738,39,100.000000000000000000,,,
90,90,virus,common,29,29,1,0,2.3562520000000000,4712.504,2000,2000,20,133.600000000000000000,0,147083,67,180.94240190653696,180.94240190653696,0.09047120095326848,38,,,,
91,91,cougar,rare,29,24,1,0,8.2793066666666667,1241.896,150,150,18,3000,2,436586,274,910.7690875512393,910.7690875512393,6.071793917008262,13,,,,
92,92,botroyale,legendary,29,29,1,0,12.4315000000000000,124.315,10,10,25,60000,0,71144,60,111.13468138894935,111.13468138894935,11.113468138894934,41,,,,
93,93,mummy,epic,24,24,1,0,12.1293000000000000,606.465,50,50,11,15000,3,782923,538,1390.314494042386,1390.314494042386,27.80628988084772,5,,,,
94,94,frankie,rare,29,29,1,0,5.6693000000000000,850.395,150,150,32,2826.476000000000000000,0,271007,210,217.4562040961753,217.4562040961753,1.4497080273078353,35,,,,
