id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
59,football,common,29,17,1,0,4.2063050000000000,8412.610,1997,2000,22,1050,5,10224761,8769761,2769,4284.063682950974,5284.063682950974,2.6460008427395962,2,700.000000000000000000,309.2857142857143,1000,
60,starballoon,common,29,24,1,0,3.4698380952380952,12751.655,3412,3676,27,92,0,38966,38966,29,5.218752308805152,5.218752308805152,0.0015295288126627058,71,,,,
61,tamagochi,epic,29,29,1,0,11.9939473684210526,911.540,76,76,16,7293.000000000000000000,0,41021,41021,12,4.705683065972582,4.705683065972582,0.06191688244700765,73,,,,
62,target,uncommon,29,29,1,0,5.0453914209115282,3763.862,711,746,8,360.000000000000000000,0,10587,6588,7,2.348546042729543,2.348546042729543,0.0033031589911807916,80,,,,
64,tomato,uncommon,29,29,1,0,5.0333792650918635,3835.435,740,762,8,369.998000000000000000,0,122028,69352,26,16.66581109877079,16.66581109877079,0.022521366349690253,65,,,,
65,volleyball,common,29,29,1,0,3.1062820000000000,6212.564,2000,2000,5,250,0,343529,343529,145,70.62453082328062,70.62453082328062,0.035312265411640315,49,,,,
66,racoon,uncommon,29,29,1,0,6.3585032010243278,4965.991,735,781,8,385.600000000000000000,0,125988,125988,42,14.641356958909542,14.641356958909542,0.01992021354953679,68,,,,
67,peach,rare,29,29,1,0,10.1949000000000000,1019.490,100,100,29,3799.800000000000000000,0,246991,246991,59,209.4572059198589,209.4572059198589,2.094572059198589,37,,,,
68,watermelon,uncommon,29,29,1,0,4.2194333333333333,2531.660,600,600,6,573,0,1073705,1006094,433,586.4653860884803,586.4653860884803,0.9774423101474671,18,,,,
69,citrus,epic,29,29,1,0,15.7437200000000000,787.186,50,50,10,8000,0,9924,9924,4,2.2477917816096022,2.2477917816096022,0.04495583563219205,81,,,,
70,potion,epic,29,24,1,0,14.0599600000000000,702.998,50,50,9,9540.000000000000000000,0,19419,17584,14,2.53487587304069,2.53487587304069,0.0506975174608138,79,,,,
71,crlogo,legendary,29,24,1,0,35.1764000000000000,351.764,10,10,11,72464.800000000000000000,6,9070844,8273164,1256,5766.108316975834,8766.108316975835,876.6108316975835,1,900.000000000000000000,95.11111111111111,3000,1000
72,yinyang,uncommon,29,29,1,0,5.4716811188811189,3912.252,687,715,4,398,0,106072,106072,76,24.214630963404883,24.214630963404883,0.03524691552169561,60,,,,
73,waffle2,legendary,29,29,1,0,17.7411666666666667,319.341,18,18,8,40000,0,499712,499712,80,56.786132435961434,56.786132435961434,3.1547851353311906,51,,,,
74,snowman,epic,29,29,1,0,12.5161000000000000,625.805,50,50,19,6695.400000000000000000,0,287338,287338,93,109.51564156929558,109.51564156929558,2.1903128313859117,43,,,,
75,crosshair,common,19,29,1,0,3.5708610000000000,7141.722,2000,2000,23,1000,3,9060256,8136022,1955,4283.947830376154,4783.947830376154,2.391973915188077,3,,,500,
76,xmasball2,common,29,29,1,0,3.3767937185929648,13439.639,3760,3980,7,55,0,435770,435770,364,93.63128268269047,93.63128268269047,0.024901936883694274,46,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.5062200000000000,1150.622,100,100,8,4016.800000000000000000,0,923240,555499,85,275.91764606902797,275.91764606902797,2.7591764606902798,29,,,,
78,vase,common,29,29,1,0,2.5043255000000000,5008.651,1999,2000,21,175,0,615640,615640,277,228.82777754501706,228.82777754501706,0.11447112433467586,35,,,,
79,ufo,uncommon,29,29,1,0,5.9461083333333333,3567.665,600,600,21,1300.000000000000000000,0,1203140,1195593,282,674.3204173316693,674.3204173316693,1.1238673622194488,14,,,,
