id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
25,devil,epic,29,29,1,0,13.6199882352941176,1157.699,84,85,17,8000,0,134855,67,78.33108837445167,78.33108837445167,0.9325129568387103,42,,,,
26,revolver,uncommon,29,24,1,0,3.7772666666666667,2266.360,600,600,23,633.400000000000000000,0,17257,7,25.61830377594597,25.61830377594597,0.042697172959909956,46,,,,
27,disguise,epic,29,29,1,0,12.1439870129870130,935.087,76,77,17,5842.600000000000000000,0,75065,34,7.3323235446613895,7.3323235446613895,0.09647794137712355,53,,,,
28,dog,uncommon,29,29,1,0,4.6703533333333333,2802.212,600,600,4,539.600000000000000000,0,5491,8,126.21825394510817,126.21825394510817,0.21036375657518028,37,,,,
29,donut,uncommon,29,29,1,0,5.4150357142857143,4093.767,696,756,17,380,0,37836,43,8.188386465623775,8.188386465623775,0.011764923082792781,52,,,,
30,baseball,epic,29,29,1,0,9.6374722222222222,693.898,71,72,17,5178.800000000000000000,0,,,,,,71,,,,
31,bowie,rare,29,29,1,0,7.6880385756676558,2590.869,333,337,17,1300,0,58133,8,5.678411571595291,5.678411571595291,0.01705228700178766,55,,,,
32,eyeball,rare,29,29,1,0,6.9602406779661017,2053.271,282,295,24,1300,0,42032,12,3.422098111860897,3.422098111860897,0.01213509968744999,59,,,,
33,eyeball2,epic,29,29,1,0,10.8373291139240506,856.149,75,79,17,5500.000000000000000000,0,,,,,,72,,,,
34,discoball,epic,29,29,1,0,13.6402452830188679,722.933,53,53,16,9000,0,5426,4,2.0080958257958708,2.0080958257958708,0.037888600486714545,66,,,,
35,fishcake,uncommon,29,29,1,0,5.3306168224299065,3992.632,699,749,24,364.000000000000000000,0,,,,,,73,,,,
36,floater,rare,29,24,1,0,8.0273800000000000,1204.107,150,150,23,6499,1,762415,194,3193.0101096799804,3193.0101096799804,21.286734064533203,2,300.000000000000000000,,,
37,fox,uncommon,29,29,1,0,5.8968720200752823,4699.807,724,797,24,580,0,,,,,,74,,,,
38,fox777,legendary,29,29,1,0,28.0543571428571429,392.761,14,14,6,143969.738000000000000000,1,86151,24,622.1416733693503,622.1416733693503,44.43869095495359,19,,,,
