,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
46,46,opencan,uncommon,29,29,1,0,4.9300383333333333,2958.023,600,600,19,720.000000000000000000,2,395241,86,630.0712212850183,630.0712212850183,1.0501187021416971,17,,,,
47,47,candyswirl,rare,29,21,1,0,10.2563300000000000,1025.633,100,100,23,2486.000000000000000000,0,,,,,,77,,,,
48,48,royman,epic,29,29,1,0,14.1110800000000000,705.554,50,50,32,10400.000000000000000000,0,,,,,,78,,,,
49,49,panda,uncommon,29,24,1,0,5.2407700000000000,3144.462,599,600,26,500,1,195267,97,419.40052289419447,419.40052289419447,0.7001678178534131,25,,,,
50,50,melon,rare,29,29,1,0,7.1433118644067797,2107.277,291,295,6,1459.800000000000000000,1,191775,61,525.9214725456277,525.9214725456277,1.8072902836619509,20,,,,
51,51,casinochip,uncommon,29,29,1,0,4.6994316666666667,2819.659,600,600,19,664.800000000000000000,0,47762,22,19.494935799987037,19.494935799987037,0.03249155966664506,58,,,,
52,52,pizza,rare,29,29,1,0,8.5999066666666667,1289.986,150,150,26,3800,0,20092,15,59.81910368209844,59.81910368209844,0.39879402454732293,54,,,,
53,53,jackolantern,rare,29,29,1,0,9.5276666666666667,1429.150,150,150,29,2100,0,72032,12,295.7761247178146,295.7761247178146,1.9718408314520972,33,,,,
54,54,waffle,uncommon,29,29,1,0,5.1063144399460189,3783.779,692,741,32,447.200000000000000000,0,21914,15,12.805238892057554,12.805238892057554,0.018504680479851956,61,,,,
55,55,saturn,common,29,24,1,0,4.0132939356435644,6485.483,1611,2000,8,126.800000000000000000,0,149672,136,318.262569854685,318.262569854685,0.1975559092828585,31,,,,
56,56,marble,rare,29,29,1,0,7.1916838487972509,2092.780,281,291,32,1591.000000000000000000,0,49867,45,331.89791272437583,331.89791272437583,1.181131362008455,30,,,,
57,57,skull,uncommon,24,24,1,0,6.4862679938744257,4235.533,651,653,7,1187.998600000000000000,0,230675,69,485.7839430863096,485.7839430863096,0.7462118941417966,22,,,,
58,58,skullpatch,rare,29,29,1,0,8.7109600000000000,1306.644,150,150,24,2372.000000000000000000,1,363989,55,773.3541788318452,773.3541788318452,5.155694525545634,13,,,,
59,59,soccerball,common,29,29,1,0,3.3753730000000000,6750.746,1997,2000,32,173,1,163707,110,788.2603032500268,788.2603032500268,0.39472223497747966,12,,,,
60,60,starball,common,29,29,1,0,3.4977800473653049,11815.501,3114,3700,32,102.000000000000000000,0,16357,11,27.639387447994658,27.639387447994658,0.008875846964673943,56,,,,
61,61,tamagochi,epic,29,29,1,0,11.9258441558441558,918.290,77,77,26,7920.000000000000000000,0,65716,9,131.78721654601128,131.78721654601128,1.7115222928053413,44,,,,
62,62,target,uncommon,29,29,1,0,5.0256538969616909,3804.420,722,757,32,300.000000000000000000,0,2648,1,1.9378803500335793,1.9378803500335793,0.0026840448061406915,69,,,,
64,64,tomato,uncommon,29,29,1,0,4.9073602564102564,3827.741,758,780,17,320.800000000000000000,0,,,,,,79,,,,
65,65,volleyball,common,29,29,1,0,4.0313851239669421,4877.976,1210,2000,19,170.800000000000000000,0,133793,75,466.4691124969547,466.4691124969547,0.38551166322062375,24,,,,
66,66,racoon,uncommon,29,29,1,0,6.3275613147914033,5005.101,744,791,32,395,0,,,,,,80,,,,
67,67,peach,rare,29,29,1,0,10.1271386138613861,1022.841,101,100,24,2850,0,,,,,,81,,,,
68,68,watermelon,uncommon,29,29,1,0,3.8235300000000000,2294.118,600,600,7,504.000000000000000000,0,3809,9,3.8716509546846534,3.8716509546846534,0.006452751591141089,66,,,,
69,69,citrus,epic,29,29,1,0,15.4324800000000000,771.624,50,50,25,8200,1,328728,158,608.7437621184351,608.7437621184351,12.174875242368703,18,,,,
70,70,potion,epic,29,29,1,0,13.8603000000000000,693.015,50,50,27,11131.000000000000000000,0,6912,1,151.75104801390222,151.75104801390222,3.0350209602780445,42,,,,
71,71,crlogo,legendary,29,29,1,0,18.0974000000000000,180.974,10,10,9,33842.000000000000000000,0,,,,,,82,,,,
72,72,yinyang,uncommon,29,29,1,0,5.4208816644993498,4168.658,741,769,32,380,0,,,,,,83,,,,
73,73,waffle2,legendary,29,29,1,0,17.0452380952380952,357.950,21,21,8,39000.000000000000000000,0,,,,,,84,,,,
74,74,snowman,epic,29,29,1,0,12.3286800000000000,616.434,50,50,28,8880.000000000000000000,0,,,,,,85,,,,
75,75,crosshair,common,29,29,1,0,3.1747875000000000,6349.575,2000,2000,10,790,2,410000,150,1844.5017675420768,1844.5017675420768,0.9222508837710384,4,,,,
76,76,xmasball2,common,29,29,1,0,3.8827261864117446,11372.505,2709,4019,32,55,0,122432,78,82.08950777536796,82.08950777536796,0.030302513021545945,47,,,,
77,77,xmasball1,rare,29,21,1,100.000000000000000000,10.5031400000000000,1050.314,100,100,7,6960.000000000000000000,0,356618,100,1000.0119831213265,1000.0119831213265,10.000119831213265,11,,,200.000000000000000000,
78,78,vase,common,29,29,1,0,2.8621691228070175,4078.591,1424,2000,21,124.000000000000000000,0,34102,31,191.32232392210923,191.32232392210923,0.134355564552043,38,,,,
