id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,tax,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
61610,uncommon,1000,revolver,revolver,,2023-03-14T15:56:03.243Z,50.00,600,600,275,35,18,1.46,670
61063,uncommon,3500,casinochip,casinochip,,2023-03-14T15:01:35.187Z,175.00,600,600,461,24,8,0.66,0
45998,rare,2888,peach,peach,,2023-03-15T14:19:17.603Z,144.40,100,100,55,1009,471,57.20,0
61576,uncommon,4000,casinochip,casinochip,,2023-03-13T18:01:42.467Z,200.00,600,600,564,243,88,54.45,5690
3159,rare,3000,eyeball,eyeball,,2022-02-07T14:34:21.118Z,150.00,289,289,67,4,1,0,0
49466,rare,2900,banana,banana,,2023-01-23T07:36:46.132Z,145.00,150,150,77,393,180,3.51,0
32544,uncommon,440,waffle,waffle,,2023-03-13T10:05:15.530Z,22.00,729,729,833,223,96,3.41,0
8574,common,130,8ball,8ball,,2023-03-15T15:14:33.356Z,6.50,3579,3579,864,230,83,3.49,0
56543,common,634,clock,clock,,2023-03-15T22:35:35.150Z,31.70,2000,2000,588,62,32,0.99,0
59096,common,780,virus,virus,,2023-03-15T23:51:35.314Z,39.00,2000,2000,620,0,0,0,0
24058,uncommon,440,waffle,waffle,,2023-03-13T10:05:19.955Z,22.00,729,729,527,227,92,3.91,0
58920,common,258,volleyball,volleyball,,2023-03-15T18:09:15.380Z,12.90,2000,2000,904,31,15,0,0
8105,rare,1800,eyeball,eyeball,,2022-12-12T15:47:02.894Z,90.00,289,289,275,185,109,10.89,0
62880,uncommon,5000,revolver,revolver,,2023-03-14T22:50:56.251Z,250.00,600,600,370,0,0,0,0
61235,uncommon,3500,casinochip,casinochip,,2023-03-14T15:01:43.264Z,175.00,600,600,489,14,5,0.33,0
68092,rare,3250,frankie,frankie,,2023-03-16T02:43:09.090Z,162.50,150,150,151,0,0,0,0
61353,uncommon,3500,casinochip,casinochip,,2023-03-14T15:01:20.385Z,175.00,600,600,509,13,8,0.99,0
14305,rare,1700,marble,marble,,2022-12-07T17:04:08.542Z,85.00,288,288,357,1105,446,13.11,0
46750,rare,3999,peach,peach,,2022-09-17T20:19:31.071Z,199.95,100,100,99,162,66,1.0,0
17962,uncommon,750,cute,cute,,2023-03-14T21:10:40.290Z,37.50,724,724,951,790,323,26.38,0
36508,uncommon,700,fox,fox,,2023-03-13T23:12:37.038Z,35.00,784,784,717,537,205,6.46,0
30103,uncommon,440,waffle,waffle,,2023-03-13T10:05:00.002Z,22.00,729,729,721,199,103,4.43,0
59050,uncommon,3500,casinochip,casinochip,,2023-03-14T15:04:49.722Z,175.00,600,600,343,75,22,0,0
34983,uncommon,455,waffle,waffle,,2023-03-15T20:48:09.296Z,22.75,729,729,983,0,0,0,0
38502,rare,1550,bowie,bowie,,2023-01-24T14:31:13.658Z,77.50,320,320,340,671,294,5.31,0
13195,rare,10000,melon,melon,,2022-05-22T07:35:49.391Z,500.00,272,272,211,529,205,3.5,0
57213,rare,2550,banana,banana,,2023-02-17T21:15:22.321Z,127.50,150,150,159,318,148,5.02,0
63686,uncommon,950,revolver,revolver,,2023-03-14T06:51:51.431Z,47.50,600,600,607,4,1,0,0
59277,rare,6428.571428571,cougar,cougar,,2023-03-05T16:35:05.802Z,321.42857142855,150,150,121,4129,2229,1446.69,8460
11742,uncommon,800,tomato,tomato,,2023-03-15T16:09:17.504Z,40.00,763,763,666,449,168,3.78,0
37268,uncommon,455,fox,fox,,2023-03-13T08:26:43.713Z,22.75,784,784,857,623,265,2.8,0
60833,common,260,volleyball,volleyball,,2023-03-15T18:09:07.209Z,13.00,2000,2000,1091,16,9,0,0
32367,uncommon,1500,waffle,waffle,,2023-03-15T18:05:31.546Z,75.00,729,729,823,528,216,10.19,0
60359,common,780,virus,virus,,2023-03-15T23:51:18.638Z,39.00,2000,2000,1103,0,0,0,0
16888,epic,22500,shades,shades,,2023-02-14T11:30:02.933Z,1125.00,50,50,15,48000,19223,1790.59,0
51871,epic,35000,ape,ape,,2023-03-13T09:41:26.719Z,1750.00,50,50,21,2357,1235,304.53,0
49217,epic,12050,potion,potion,,2023-02-04T21:36:58.655Z,602.50,50,50,19,3947,1937,95.11,0
58684,common,1500,bowling,bowling,,2023-03-15T18:06:49.294Z,75.00,2000,2000,901,156,81,0,0
11859,common,2000,starballoon,starballoon,,2023-03-15T18:03:54.281Z,100.00,3679,3679,1157,4559,2190,25.44,0
52206,rare,3000,banana,banana,,2023-01-04T00:07:06.873Z,150.00,150,150,102,15,7,0,0
60680,common,780,virus,virus,,2023-03-15T23:51:10.241Z,39.00,2000,2000,1189,0,0,0,0
65707,common,355,volleyball,volleyball,,2023-03-15T15:21:42.286Z,17.75,2000,2000,1197,0,0,0,0
70082,common,100,basketball,basketball,,2023-03-15T06:11:28.788Z,5.00,4245,3398,3491,0,0,0,0
50232,uncommon,1050,revolver,revolver,,2023-03-14T06:52:07.966Z,52.50,600,600,116,398,202,8.90,0
69716,common,100,basketball,basketball,,2023-03-15T14:50:09.969Z,5.00,4245,3398,3333,0,0,0,0
58330,uncommon,1900,casinochip,casinochip,,2023-03-14T13:52:06.041Z,95.00,600,600,291,64,38,1.86,0
35174,uncommon,800,donut,donut,,2023-03-14T21:16:12.135Z,40.00,746,746,888,387,174,4.19,0
64998,epic,15500,mummy,mummy,,2023-02-07T14:31:31.132Z,775.00,50,50,44,2565,1664,23.84,0
