rarity,name,date,on_sale_price
rare,skullpatch,2022-11-05,"2500,0"
epic,snowman,2022-11-05,"11500,0"
common,soccerball,2022-11-05,"190,0"
legendary,spy,2022-11-05,"120000,0"
common,starball,2022-11-05,"104,0"
epic,tamagochi,2022-11-05,"9000,0"
uncommon,target,2022-11-05,"380,0"
uncommon,tomato,2022-11-05,"370,0"
uncommon,ufo,2022-11-05,"2000,0"
common,vase,2022-11-05,"140,0"
common,virus,2022-11-05,"135,0"
common,volleyball,2022-11-05,"135,0"
uncommon,waffle,2022-11-05,"380,0"
legendary,waffle2,2022-11-05,"90000,0"
uncommon,watermelon,2022-11-05,"520,0"
rare,wheeee,2022-11-05,"2800,0"
cosmetic,worldcup,2022-11-05,"2700,0"
epic,xmasball,2022-11-05,"8500,0"
rare,xmasball1,2022-11-05,"8000,0"
common,xmasball2,2022-11-05,"113,0"
uncommon,yinyang,2022-11-05,"475,0"
common,8ball,2022-11-06,"104,0"
common,alien,2022-11-06,"174,0"
epic,angel,2022-11-06,"17000,0"
epic,ape,2022-11-06,"19000,0"
rare,banana,2022-11-06,"1850,0"
epic,baseball,2022-11-06,"7000,0"
common,basketball,2022-11-06,"106,0"
common,beachball,2022-11-06,"106,0"
uncommon,bomb,2022-11-06,"870,0"
legendary,botroyale,2022-11-06,"75000,0"
rare,bowie,2022-11-06,"1300,0"
common,bowling,2022-11-06,"155,0"
uncommon,bull,2022-11-06,"375,0"
rare,burger,2022-11-06,"4000,0"
common,button,2022-11-06,"107,0"
rare,candyswirl,2022-11-06,"4200,0"
uncommon,casinochip,2022-11-06,"720,0"
uncommon,cat,2022-11-06,"1000,0"
rare,cherry,2022-11-06,"2500,0"
epic,citrus,2022-11-06,"9500,0"
common,clock,2022-11-06,"130,0"
rare,coconut,2022-11-06,"1575,0"
rare,cougar,2022-11-06,"2700,0"
legendary,crlogo,2022-11-06,"80000,0"
common,crosshair,2022-11-06,"460,0"
uncommon,cute,2022-11-06,"530,0"
uncommon,derp,2022-11-06,"1300,0"
epic,devil,2022-11-06,"8000,0"
epic,discoball,2022-11-06,"9000,0"
epic,disguise,2022-11-06,"8000,0"
rare,diver,2022-11-06,"4500,0"
uncommon,dog,2022-11-06,"501,0"
uncommon,donut,2022-11-06,"350,0"
epic,dragon,2022-11-06,"12900,0"
rare,egg,2022-11-06,"12000,0"
rare,eyeball,2022-11-06,"1300,0"
epic,eyeball2,2022-11-06,"7800,0"
uncommon,fishcake,2022-11-06,"420,0"
rare,floater,2022-11-06,"5555,0"
uncommon,fox,2022-11-06,"650,0"
legendary,fox777,2022-11-06,"200000,0"
rare,frankie,2022-11-06,"2852,38"
rare,gamer,2022-11-06,"9523,809"
epic,ghost,2022-11-06,"23000,0"
rare,jackolantern,2022-11-06,"2000,0"
rare,ladybug,2022-11-06,"5600,0"
rare,marble,2022-11-06,"1650,0"
rare,melon,2022-11-06,"1349,0"
legendary,moneybag,2022-11-06,"80000,0"
uncommon,moon,2022-11-06,"2900,0"
epic,mummy,2022-11-06,"16358,0"
rare,ninja,2022-11-06,"5000,0"
uncommon,opencan,2022-11-06,"666,0"
epic,owl,2022-11-06,"17000,0"
uncommon,panda,2022-11-06,"530,0"
rare,peach,2022-11-06,"2850,0"
rare,pizza,2022-11-06,"4150,0"
epic,potion,2022-11-06,"10000,0"
uncommon,racoon,2022-11-06,"380,0"
uncommon,revolver,2022-11-06,"650,0"
epic,royman,2022-11-06,"11900,0"
common,saturn,2022-11-06,"132,0"
epic,shades,2022-11-06,"11000,0"
uncommon,skull,2022-11-06,"1600,0"
rare,skullpatch,2022-11-06,"2500,0"
epic,snowman,2022-11-06,"11500,0"
common,soccerball,2022-11-06,"195,0"
legendary,spy,2022-11-06,"120000,0"
common,starball,2022-11-06,"104,0"
epic,tamagochi,2022-11-06,"8750,0"
uncommon,target,2022-11-06,"380,0"
uncommon,tomato,2022-11-06,"375,0"
uncommon,ufo,2022-11-06,"2000,0"
common,vase,2022-11-06,"140,0"
common,virus,2022-11-06,"147,0"
common,volleyball,2022-11-06,"200,0"
uncommon,waffle,2022-11-06,"380,0"
legendary,waffle2,2022-11-06,"90000,0"
uncommon,watermelon,2022-11-06,"550,0"
rare,wheeee,2022-11-06,"3000,0"
cosmetic,worldcup,2022-11-06,"2300,0"
epic,xmasball,2022-11-06,"8500,0"
rare,xmasball1,2022-11-06,"7200,0"
common,xmasball2,2022-11-06,"140,0"
uncommon,yinyang,2022-11-06,"375,0"
common,8ball,2022-11-07,"106,0"
common,alien,2022-11-07,"175,0"
epic,angel,2022-11-07,"17000,0"
epic,ape,2022-11-07,"17955,0"
rare,banana,2022-11-07,"1850,0"
epic,baseball,2022-11-07,"7000,0"
common,basketball,2022-11-07,"106,0"
common,beachball,2022-11-07,"106,0"
uncommon,bomb,2022-11-07,"850,0"
legendary,botroyale,2022-11-07,"75000,0"
rare,bowie,2022-11-07,"1300,0"
common,bowling,2022-11-07,"161,0"
uncommon,bull,2022-11-07,"372,0"
